"Date","MC.PA.Open","MC.PA.High","MC.PA.Low","MC.PA.Close","MC.PA.Volume","MC.PA.Adjusted"
2022-11-21,696,702.700012207031,690.599975585938,699.299987792969,302141,644.793579101562
2022-11-22,697,698.5,687.400024414062,697.900024414062,281532,643.502746582031
2022-11-23,702,703,695,701.900024414062,231994,647.191040039062
2022-11-24,700,704,697.099975585938,702.200012207031,245547,647.467590332031
2022-11-25,702.200012207031,702.5,693.200012207031,700.200012207031,312997,645.62353515625
2022-11-28,694.700012207031,701.200012207031,690.599975585938,698.700012207031,374156,644.240478515625
2022-11-29,704.700012207031,706.900024414062,699.799987792969,702,294301,647.283203125
2022-11-30,708,737.299987792969,706.5,737.299987792969,1688007,679.831726074219
2022-12-01,736.900024414062,737.900024414062,717.099975585938,721,392901,669.341430664062
2022-12-02,715,722.5,707.299987792969,715.299987792969,366917,664.049743652344
2022-12-05,716.400024414062,718.5,710.099975585938,714.5,291430,663.307067871094
2022-12-06,713,715.299987792969,708.400024414062,714.200012207031,347705,663.028625488281
2022-12-07,707.599975585938,717.5,707.200012207031,712.799987792969,336309,661.728881835938
2022-12-08,713.200012207031,721.700012207031,711.599975585938,719,279248,667.484619140625
2022-12-09,721.900024414062,726.799987792969,715.400024414062,720.299987792969,310103,668.691589355469
2022-12-12,714.599975585938,719.299987792969,711.400024414062,716.200012207031,318952,664.885314941406
2022-12-13,717.599975585938,739.400024414062,714.700012207031,726.700012207031,433319,674.632934570312
2022-12-14,724.200012207031,729.5,718.400024414062,727.400024414062,380723,675.282897949219
2022-12-15,718.799987792969,720,691,701.599975585938,563990,651.331298828125
2022-12-16,695,698.599975585938,684.599975585938,693.799987792969,921702,644.090270996094
2022-12-19,695.5,702,686.299987792969,687.299987792969,336655,638.055847167969
2022-12-20,681,683.599975585938,676.099975585938,682.900024414062,355736,633.971252441406
2022-12-21,687,691.700012207031,682.700012207031,691.5,352533,641.954956054688
2022-12-22,691.299987792969,695.799987792969,681.299987792969,684,273558,634.992309570312
2022-12-23,681.5,683.200012207031,670.099975585938,673.799987792969,241292,625.523254394531
2022-12-27,683.299987792969,692.700012207031,682.299987792969,690.200012207031,249850,640.748168945312
2022-12-28,692.299987792969,694.700012207031,685.799987792969,686.599975585938,196630,637.406127929688
2022-12-29,684.700012207031,699,682.200012207031,696.5,198655,646.5966796875
2022-12-30,696.599975585938,696.599975585938,676.599975585938,679.900024414062,272368,631.186157226562
2023-01-02,689.400024414062,695,685.099975585938,694.099975585938,194703,644.368774414062
2023-01-03,691.5,711.299987792969,691.299987792969,702.799987792969,316482,652.445373535156
2023-01-04,714.900024414062,738,710.900024414062,738,570725,685.123352050781
2023-01-05,729,734.700012207031,722.099975585938,728.400024414062,327709,676.211242675781
2023-01-06,734,748.799987792969,728.799987792969,748.799987792969,318415,695.149536132812
2023-01-09,748,761.599975585938,746.099975585938,759.599975585938,486846,705.175720214844
2023-01-10,748.700012207031,758.400024414062,747.200012207031,756.299987792969,327475,702.112121582031
2023-01-11,764.599975585938,775.299987792969,759.5,772.299987792969,450736,716.965698242188
2023-01-12,769.200012207031,787.900024414062,768.900024414062,773.700012207031,462249,718.265502929688
2023-01-13,780.599975585938,787.599975585938,772.799987792969,785.299987792969,375528,729.034423828125
2023-01-16,788.200012207031,793.799987792969,782,792.700012207031,278890,735.904235839844
2023-01-17,789.299987792969,803.299987792969,787,797.400024414062,388436,740.267517089844
2023-01-18,789.700012207031,805.799987792969,787.200012207031,801.900024414062,425156,744.445007324219
2023-01-19,798.700012207031,799.599975585938,774.700012207031,776.599975585938,493048,720.957702636719
2023-01-20,783,789.799987792969,775,782.799987792969,430218,726.713500976562
2023-01-23,786.799987792969,791.099975585938,776.599975585938,788.099975585938,244069,731.633728027344
2023-01-24,790.299987792969,795.299987792969,786.099975585938,794.799987792969,325598,737.853759765625
2023-01-25,793.5,799.700012207031,787.099975585938,792.299987792969,282357,735.532897949219
2023-01-26,797.099975585938,804.200012207031,794.5,801.599975585938,308282,744.16650390625
2023-01-27,785.599975585938,808.200012207031,783.700012207031,801,508869,743.609497070312
2023-01-30,791.799987792969,799.700012207031,786.700012207031,798.799987792969,296812,741.567138671875
2023-01-31,797.400024414062,802.599975585938,792.599975585938,800,334681,742.68115234375
2023-02-01,800,802.099975585938,792.200012207031,795.5,292831,738.503540039062
2023-02-02,798.299987792969,812.799987792969,795.299987792969,809.099975585938,403666,751.129150390625
2023-02-03,807,830.5,804.5,829.400024414062,505251,769.974731445312
2023-02-06,820.200012207031,825.700012207031,807.400024414062,814.200012207031,289604,755.863708496094
2023-02-07,812.599975585938,814,800.700012207031,807.400024414062,340198,749.550903320312
